"Ferris State","Oakland MI"
"Lehigh","Wagner College"
"Campbell","Winthrop"
"Flagler","Stetson"
"Seton Hall","Clemson"
"North Carolina Wilmington","Duquesne"
"Columbia","Miami (Florida)"
"Wisconsin","Tennessee"
"Saint Francis PA","Bucknell University"
"Iona College","Coppin St."
"Palm Beach Atlantic","Florida International"
"Hofstra","Florida Atlantic"
"Jacksonville FL","Georgia Southern"
"Charleston Southern","Georgia Tech"
"Mount St. Mary's","Manhattan"
"Maine","Providence"
"Monmouth NJ","Rider"
"Lafayette College","Rutgers"
"Wofford College","South Carolina"
"New England College","SUNY Stony Brook"
"Southwest Baptist","Oral Roberts"
"Central Michigan","Purdue"
"Alabama A&M","Alabama Birmingham"
"Furman","Belmont"
"Texas San Antonio","Illinois Chicago"
"Jacksonville State","Kentucky"
"Boston University","Liberty"
"Ouachita","Louisiana Tech"
"Mississippi Valley State","Mississippi State"
"Norfolk State College","New Orleans"
"Missouri Rolla","Southeast Missouri State"
"Union College KY","Western Kentucky"
"Lee University","Western Carolina"
"Lipscomb","Wisconsin Milwaukee"
"Marshall","Cincinnati"
"McNeese State","Louisiana Lafayette"
"Stephen F Austin","South Alabama"
"Southwest Texas State","Centenary"
"Central Arkansas","Arkansas Little Rock"
"Kansas State","Wichita State"
"St. Louis","Southern Illinois"
"Iowa","Drake"
"Northwestern Louisiana","Southern University"
"Arkansas Monticello","Texas Arlington"
"Houston","Rice"
"Oregon","Denver"
"Elon College","Brigham Young"
"Alcorn State","Southern Mississippi"
"Eastern Illinois","Nebraska"
"Cascade","Northern Arizona"
"Dayton","Arizona"
"Missouri Kansas City","Oklahoma State"
"Loyola Marymount","California Irvine"
"Texas El Paso","Washington"
"New Mexico State","San Diego State"
"Western Montana","Idaho"
"San Diego","Southern California"
"Cal State Northridge","UCLA"
"Air Force","Cal State Long Beach"
"UNLV","Chaminade"
"La Salle University","Central Connecticut State"
"Louisville","Connecticut"
"Dayton","Maryland"
"Fresno State","North Carolina State"
"Temple","Indiana"
"Long Island","Yale"
"Rio Grande","Ohio University"
"Robert Morris College","East Carolina"
"New Hampshire","Army"
"Detroit","Chicago St."
"Loyola (Chicago)","Notre Dame"
"Eastern Kentucky","Xavier (OH)"
"Loyola MD","Penn State"
"Virginia Commonwealth","East Tennessee State"
"Indiana Purdue","Ball State"
"Arkansas Pine Bluff","Baylor University"
"MD Eastern Shore","Northwestern"
"Prairie View","Texas Tech"
"Portland","Texas A&M Corpus Chris"
"Sam Houston State","Mississippi"
"Jackson State","Arkansas"
"Alaska Fairbanks","Bradley"
"Hampton","Wisconsin Green Bay"
"Rhode Island","Missouri"
"Illinois","Arizona"
"Texas","Duke"
"Northern Iowa","Montana"
"James Madison","Vanderbilt"
"Santa Clara","Pacific"
"Saint Mary's CA","Cal State Sacramento"
"Morris Brown College","Weber State College"
"Valparaiso","Alaska Anchorage"
"Indiana State","Georgia"
"Utah","AU Puerto Rico"
"Old Dominion","Stanford"
"Miami (Ohio)","Memphis"
"Florida State","Ohio State"
"DePaul","Syracuse"
"Portland","Texas Pan American"
"Elon College","San Diego"
"Indiana State","AU Puerto Rico"
"Toledo","Southeast Missouri State"
"Stanford","Memphis"
"Wisconsin Milwaukee","Florida Atlantic"
"Robert Morris College","Auburn"
"Rhode Island","Alaska Anchorage"
"Canisius College","Florida International"
"Georgia","Utah"
"Georgetown University","Central Florida"
"San Francisco","Cal State Long Beach"
"Cleveland St.","Creighton"
"Florida State","DePaul"
"Cornell","Michigan State"
"Boston University","Quinnipiac"
"Texas","Indiana"
"Old Dominion","Miami (Ohio)"
"College of Charleston","Duquesne"
"Davidson College","Georgia Tech"
"Virginia","Virginia Tech"
"Providence","Missouri Kansas City"
"Oklahoma","Montana State Bozeman"
"Howard University","George Washington"
"Texas Southern","Iowa State"
"East Tennessee State","Vanderbilt"
"Eastern Washington","Bradley"
"Birmingham Southern","Rice"
"Temple","Duke"
"Denver","Air Force"
"Valparaiso","Missouri"
"Texas Christian","Siena College"
"Albertson","Boise State"
"Oregon State","Appalachian State"
"Southeast Louisiana","Hawaii"
"Minnesota","Hawaii Pacific"
"Ohio State","Syracuse"
"Tulane","Hawaii Hilo"
"Montana","Nevada Reno"
"La Salle University","Alabama Birmingham"
"Siena College","Hawaii Pacific"
"Idaho State","Southern Utah"
"Loyola Marymount","Southern California"
"Idaho","Gonzaga"
"Colorado State","Washington State"
"Portland State","Oregon"
"Tulane","Oklahoma"
"Toledo","Auburn"
"New Hampshire","Dartmouth College"
"Mississippi","Virginia Commonwealth"
"Marist College","Pittsburgh"
"Old Dominion","AU Puerto Rico"
"Northeastern","Miami (Florida)"
"Indiana State","Miami (Ohio)"
"Montana State Bozeman","Hawaii Hilo"
"Brown University","Boston College"
"Cincinnati","Notre Dame"
"Massachusetts","Holy Cross College"
"Robert Morris College","Southeast Missouri State"
"Iona College","Fordham"
"Citadel","Clemson"
"Illinois Chicago","Central Michigan"
"Winthrop","William & Mary"
"Hofstra","SUNY Stony Brook"
"Niagara","Saint John's NY"
"Belmont","Samford"
"Northern Illinois","Wisconsin"
"Loyola MD","American University"
"Hardin-Simmons","Baylor University"
"Sacred Heart","Hartford"
"Canisius College","Wisconsin Milwaukee"
"Richmond","Western Michigan"
"East Carolina","St. Louis"
"Wagner College","Michigan"
"Texas Tech","Louisiana Lafayette"
"Georgia Southern","High Point"
"St. Mary's (Texas)","Texas San Antonio"
"Lipscomb","New Orleans"
"Louisiana Monroe","Arkansas"
"Georgia","Stanford"
"Arizona","Purdue"
"Florida Atlantic","Florida International"
"UNC Charlotte","St. Bonaventure"
"Pacific","Pepperdine"
"Rhode Island","Florida State"
"Eastern Michigan","Detroit"
"New Mexico State","Washington"
"Central Florida","Duquesne"
"Tennessee State","Western Kentucky"
"San Francisco","Appalachian State"
"Memphis","Utah"
"Cleveland St.","Missouri Kansas City"
"DePaul","Alaska Anchorage"
"Cornell","Bradley"
"Quinnipiac","Howard University"
"Bethune-Cookman College","Florida A&M"
"FDU Madison","Buffalo"
"Lehigh","Harvard"
"North Carolina Asheville","Mercer"
"Akron","Oakland MI"
"Maine","Troy State"
"Guilford College","Wofford College"
"Clarion University","Youngstown State"
"NC Greensboro","West Virginia"
"Centenary","Tennessee Martin"
"Princeton","Monmouth NJ"
"Liberty","James Madison"
"College of Charleston","Georgetown University"
"Kent State","Arizona State"
"Creighton","Providence"
"South Carolina State","South Carolina"
"Bucknell University","Rutgers"
"Coppin St.","Morgan State"
"Delaware","George Mason"
"Campbell","Wake Forest"
"Lafayette College","Saint Peter's"
"Cal State Long Beach","Oregon State"
"Furman","Coastal Carolina"
"Mount St. Mary's","Columbia"
"Charleston Southern","North Carolina State"
"Mount Saint Joseph","Morehead State"
"Penn State","Kentucky"
"Morris Brown College","Alabama State"
"Indiana Purdue","Austin Peay"
"Boston University","George Washington"
"Southern Methodist","Lamar"
"Louisiana Tech","McNeese State"
"Vermont","Northwestern"
"Drake","Mississippi Valley State"
"Augustana IL","Western Illinois"
"Arkansas Monticello","Stephen F Austin"
"Norfolk State College","LSU"
"Southwest Texas State","Houston"
"Tennessee Tech","Tennessee Chattanooga"
"Jackson State","Arkansas State"
