"Cumberland TN","Indiana State"
"Siena College","Iona College"
"Tennessee Tech","Iowa State"
"Lenoir-Rhyne College","Jacksonville FL"
"New Hampshire","James Madison"
"Catholic University","John Carroll"
"Louisiana Monroe","Kansas State"
"Shenandoah","Kean College"
"Texas El Paso","Kentucky"
"Hartwick College","Kings College"
"Eureka College","Knox College"
"Wagner College","La Salle University"
"Pomona-Pitzer","LaVerne"
"Monmouth NJ","Lafayette College"
"Concordia IL","Lake Forest College"
"North Alabama","Lambuth"
"Paul Quinn","Langston University"
"Gettysburg College","Lebanon Valley College"
"Georgetown University","Lehigh"
"West Liberty","Liberty"
"Clark Atlanta University","Lincoln MO"
"Missouri Valley","Lindenwood University"
"Catawba College","Livingstone College"
"Monmouth College IL","Loras College"
"Belhaven","Louisiana College"
"Citadel","LSU"
"Beloit College","Macalester College"
"Manchester College","Mac Murray"
"William & Mary","Maine"
"Thiel College","Malone"
"East Stroudsburg PA","Mansfield University"
"Bluffton College","Marietta College"
"Sacred Heart","Marist College"
"Marantha Baptist","Martin Luther College"
"Akron","Maryland"
"Central Connecticut State","Massachusetts"
"Minnesota Crookston","Mayville State"
"Bridgewater College","McDaniel College"
"Haskell Indian Nation","McPherson College"
"McMurry","Menlo College"
"West Virginia Wesleyan","Mercyhurst College"
"Iowa","Miami (Ohio)"
"Western Michigan","Michigan"
"Rice","Michigan State"
"William Penn College","Midland Lutheran"
"Albany State GA","Miles College"
"Mississippi College","Millsaps College"
"Concordia Morehead","Minnesota State Moorhead"
"Minnesota State Mankato","Minnesota Duluth"
"Valley City State","Minnesota Morris"
"Memphis","Mississippi"
"Arkansas Pine Bluff","Mississippi Valley State"
"Ball State","Missouri"
"Greenville College","Missouri Southern"
"Albany NY","Montana"
"Fairleigh Dickinson","Moravian College"
"North Carolina Central","Morehouse College"
"Hastings College","Morningside"
"Western New England","Mount Ida College"
"Wilmington College","Mount Saint Joseph"
"Merchant Marine","Muhlenberg College"
"Thomas More College","Muskingum College"
"North Carolina State","Navy"
"Utah State","Nebraska"
"Upper Iowa University","Nebraska Wesleyan"
"Wayne State College","Nebraska Kearney"
"Worcester State College","Nichols College"
"Jackson State","North Carolina A&T"
"Central Washington","North Dakota"
"Winona State","North Dakota State"
"Nicholls State","North Texas"
"Western State College","Northern Colorado"
"Texas Christian","Northwestern"
"Jamestown","Northwestern IA"
"Hamline University","Northwestern MN"
"Southern University","Northwestern Louisiana"
"Saginaw Valley State","Northwood University"
"Purdue","Notre Dame"
"Nebraska Omaha","Northwest Missouri State"
"Franklin & Marshall","Oberlin College"
"Kent State","Ohio State"
"Northeastern","Ohio University"
"Alabama","Oklahoma"
"Northern Iowa","Oklahoma State"
"Wisconsin Platteville","Olivet Nazarene"
"Fresno State","Oregon"
"Massachusetts Lowell","Pace University"
"Adams State","Panhandle State Oklahoma"
"Doane College","Peru State"
"Texas A&M","Pittsburgh"
"DePauw University","Rhodes College"
"Delaware","Richmond"
"Concordia WI","Ripon College"
"Buffalo State","Robert Morris College"
"Earlham College","Rose-Hulman"
"Millersville","Rowan University"
"Buffalo","Rutgers"
"Christopher Newport","Salisbury State"
"Midwestern State","Sam Houston State"
"Ouachita","Southeastern Oklahoma State"
"Hampden-Sydney College","Sewanee"
"Shepherd College","Shippensburg"
"Texas Tech","Southern Methodist"
"Missouri Western State","South Dakota"
"Northern Illinois","South Florida"
"Southeast Missouri State","Southern Illinois"
"Illinois","Southern Mississippi"
"Howard Payne","Southern Nazarene"
"Humboldt State","Southern Oregon"
"Colorado Mesa","Southern Utah"
"Bentley College","Saint Anselm"
"Northern Michigan","Saint Cloud State"
"Dayton","Saint Francis PA"
"Canisius College","Saint John's NY"
"Saint Francis IL","Saint Joseph's IN"
"Cal State Sacramento","Saint Mary's CA"
"Saint Norbert College","Saint Thomas MN"
"Montana State Bozeman","Stephen F Austin"
"West Alabama","Stillman College"
"American International","Stonehill College"
"SUNY Brockport","Cortland State"
"Kentucky Wesleyan","Southwest Baptist"
"Texas A&M Kingsville","Texas State - San Marcos"
"North Carolina","Syracuse"
"Middle Tennessee State","Tennessee"
"Prairie View","Tennessee State"
"Rockford College","Trinity Bible College"
"Taylor University","Trinity IL"
"Austin College","Trinity University TX"
"Colorado State","UCLA"
"Minnesota","Louisiana Lafayette"
"Kansas","UNLV"
"Indiana","Utah"
"Saint John's MN","Wisconsin Eau Claire"
"Wartburg College","Wisconsin Oshkosh"
"Augustana IL","Wisconsin Stevens Point"
"Mount Union College","Wisconsin Whitewater"
"Fort Valley State","Valdosta State"
"Morehead State","Valparaiso"
"Furman","Vanderbilt"
"South Carolina","Virginia"
"Cumberland KY","Virginias at Wise"
"Davidson College","Virginia Military"
"East Carolina","Wake Forest"
"Ursinus College","Washington and Jefferson"
"Wisconsin La Crosse","Washburn University"
"San Jose State","Washington"
"Simpson College","Washington MO"
"Idaho","Washington State"
"Ferrum College","Wesley College"
"Presbyterian College","West Georgia"
"Southwestern Oklahoma State","West Texas A&M"
"Cheyney","West Virginia Tech"
"Kentucky State","Western Kentucky"
"Maryville College","Westminster College MO"
"Walsh","Westminster PA"
"Bethel MN","Whitworth College"
"Montclair State","Wilkes University"
"Redlands","Willamette Oregon"
"Avila","William Jewell"
"Gannon University","Wingate University"
"Tuskegee University","Winston Salem"
"West Virginia","Wisconsin"
"Lawrence University","Wisconsin Lutheran"
"Albion College","Wittenberg"
"MIT","Worcester Tech"
"McNeese State","Youngstown State"
"Kentucky Wesleyan","Tennessee Martin"
"Marshall","Virginia Tech"
"Wesley College","Rowan University"
"Plymouth State College","Massachusetts Dartmouth"
"Worcester Tech","Worcester State College"
"Tarleton State","Angelo State"
"Grand Valley State","Ferris State"
"Oberlin College","Pomona-Pitzer"
"Plymouth State College","Massachusetts Dartmouth"
"Defiance College","Adrian College"
"Central Michigan","Akron"
"North Texas","Alabama"
"Grambling","Alabama A&M"
"Texas Southern","Alabama State"
"Pittsburgh","Alabama Birmingham"
"West Georgia","Albany State GA"
"Central Connecticut State","Albany NY"
"Delaware Valley College","Albright"
"Ithaca College","Alfred University"
"Washington and Jefferson","Allegheny College"
"Wheaton College","Alma College"
"Taylor University","Anderson University"
"Eastern Kentucky","Appalachian State"
"Utah","Arizona"
"South Florida","Arkansas"
"Central Oklahoma","Arkansas Tech"
"Southern University","Arkansas Pine Bluff"
"Northwood University","Ashland University"
"Southern Connecticut","Assumption College"
"Vanderbilt","Auburn"
"Wisconsin Eau Claire","Augsburg College"
"Central College Iowa","Augustana IL"
"Trinity IL","Aurora University"
"Centre College","Austin Peay"
"Avila","Baker University"
"Indiana State","Ball State"
"North Central College","Benedictine IL"
"Kenyon College","Bethany WV"
"Minot State","Black Hills State"
"Crown","Blackburn College"
"Hiram College","Bluffton College"
"Winston Salem","Bowie State"
"Missouri","Bowling Green State"
"Shenandoah","Bridgewater College"
"LIU - C W Post","Bryant College"
"Connecticut","Buffalo"
"Mansfield University","Buffalo State"
"Saint Olaf","Carleton College"
"Central Washington","Carroll MT"
"Langston University","Central Arkansas"
"Sterling","Central Missouri"
"West Virginia State","Cheyney"
"North Park","University of Chicago"
"Randolph Macon College","Christopher Newport"
"West Virginia","Cincinnati"
"Miles College","Clark Atlanta University"
"Georgia Tech","Clemson"
"Massachusetts Maritime","Coast Guard"
"Southern California","Colorado"
"Louisville","Colorado State"
"Wisconsin Oshkosh","Concordia WI"
"Gustav Adolphus","Concordia Morehead"
"Wisconsin River Falls","Concordia St. Paul"
"Fitchburg State College","Curry College"
"Dana","Dakota Wesleyan"
"Jacksonville FL","Davidson College"
"Robert Morris College","Dayton"
"Northwestern Louisiana","Delaware State"
"Case Western Reserve","Denison University"
"Hope College","DePauw University"
"Mayville State","Dickinson St."
"Sioux Falls","Doane College"
"Martin Luther College","University of Dubuque"
"Tulane","East Carolina"
"Emporia State","East Central Oklahoma"
"Southeast Missouri State","Eastern Michigan"
"Wisconsin Whitewater","Eastern Oregon"
"Western Oregon","Eastern Washington"
"Fayetteville State","Elizabeth City State"
"Coe College","Eureka College"
"California PA","Fairmont State"
"Juniata College","Fairleigh Dickinson"
"Emory & Henry College","Ferrum College"
"Wayne State MI","Findlay University"
"Ohio University","Florida"
"Butler University","Florida International"
"Colgate","Fordham"
"Washburn University","Fort Hays State"
"Millikin","Franklin College"
"Catholic University","Franklin & Marshall"
"Newport News - Apprentice","Frostburg State"
"Elon College","Furman"
"Slippery Rock","Gannon University"
"East Tennessee State","Gardner-Webb University"
"Holy Cross College","Georgetown University"
"McKendree College","Georgetown College KY"
"Hampden-Sydney College","Gettysburg College"
"East Stroudsburg PA","Glenville State College"
"Mid-Am Nazarene","Graceland"
"Chowan College","Greensboro College"
"Westminster College MO","Greenville College"
"Carnegie Mellon","Grove City College"
"Howard University","Hampton"
"Thomas More College","Hanover College"
"Menlo College","Hardin-Simmons"
"Principia College","Haskell Indian Nation"
"Concordia NE","Hastings College"
"Indianapolis","Hillsdale College"
"Dickinson College","Hobart College"
"Louisiana Lafayette","Houston"
"University of Mary","Huron"
"Arkansas State","Illinois"
"Lawrence University","Illinois College"
"Catawba College","Indiana PA"
